Date,Country,Avg_Tone,Avg_Stability,Total_Mentions,Panic_Index
20190102,IN,-2.358360833025905,-0.4475247524752476,4104,0.1386138613861386
20190102,US,-2.2554865613410287,-0.2454980079681275,29108,0.1219123505976095
20190103,US,-2.6671745752635183,0.3305997552019583,33132,0.0862913096695226
20190103,IN,-3.1063972878041595,-1.3500000000000003,5439,0.1838235294117647
20190104,US,-2.8624075657891552,0.5392702535559679,33496,0.0878169449598021
20190104,IN,-2.8558096930352215,0.2429906542056075,3881,0.0654205607476635
20190105,IN,-2.6854931310862025,-0.9478632478632476,2415,0.1282051282051281
20190105,US,-2.882262119817057,0.1733580018501387,22187,0.1110083256244218
20190106,IN,-2.0103128699802486,0.6319148936170212,2744,0.0638297872340425
20190106,US,-2.9815536376049527,-0.2367626886145406,14739,0.1344307270233196
20190107,US,-2.5968692017228414,0.2184759166067577,28330,0.1013659237958303
20190107,IN,-2.5721472189284,0.2909952606635071,3992,0.0710900473933649
20190108,IN,-1.978537459852723,0.2830357142857142,5042,0.0625
20190108,US,-2.9208672668764546,0.1677038626609442,39378,0.107832618025751
20190109,IN,-2.084262364245756,1.229565217391304,4732,0.0565217391304347
20190109,US,-2.7531938503027757,0.1963257199602781,46376,0.1017874875868917
20190110,IN,-2.3520332242726965,0.3559633027522933,4526,0.0871559633027523
20190110,US,-2.455511271583568,0.6835495588998447,41070,0.0700570835495589
20190111,US,-2.545747175573744,0.3021693121693123,39626,0.0989417989417989
20190111,IN,-1.9351278646802343,0.5688796680497925,4615,0.0829875518672199
20190112,US,-2.674245742891139,0.3326765188834155,26479,0.1009852216748768
20190112,IN,-1.6960206237322168,0.5301775147928994,3157,0.0769230769230769
20190113,US,-2.4423953377749803,0.0633867276887872,18258,0.1384439359267734
20190113,IN,-2.2241739692862303,-0.1787234042553192,2670,0.0992907801418439
20190114,US,-2.84378571632154,0.036335970785149,36198,0.1265976871576384
20190114,IN,-2.0615697702281848,0.4791666666666668,4785,0.0708333333333333
20190115,IN,-0.4963450153972552,0.9000000000000002,3910,0.0585365853658536
20190115,US,-2.654421969808399,0.2408505875769446,40511,0.1029658645775042
20190116,US,-2.4614777101058323,0.7933439829605957,39329,0.0851970181043663
20190116,IN,-2.16996056371662,0.2364928909952607,3813,0.0710900473933649
20190117,US,-2.546395038322093,0.4785082872928174,37768,0.0950276243093922
20190117,IN,-1.3901020680367009,-0.0091666666666667,5108,0.1041666666666666
20190118,US,-2.5100538763811597,0.2423924449108078,42529,0.1007345225603357
20190118,IN,-1.0177389099980638,1.1489539748953967,4633,0.0543933054393305
20190119,IN,-1.6784369646885746,0.6556962025316451,3114,0.0759493670886076
20190119,US,-3.1889716350576105,-0.1121554770318021,31829,0.1208480565371024
20190120,IN,-2.5582901414709154,-0.0620689655172415,2917,0.0896551724137931
20190120,US,-2.428496889830442,0.373631284916201,19491,0.0893854748603352
20190121,IN,-1.061670032540649,0.5644808743169392,3594,0.0601092896174863
20190121,US,-2.058481863430119,0.3557575757575757,20158,0.109090909090909
20190122,US,-2.2782834021389142,0.3968339307048985,34274,0.1015531660692951
20190122,IN,-2.238519992055485,0.4777777777777777,3528,0.1005291005291005
20190123,US,-2.6160222548883927,0.3371248789932236,44846,0.0784123910939012
20190123,IN,-1.0186103017047827,0.8207729468599037,3935,0.1014492753623188
20190124,IN,-1.1859643140049143,0.9759615384615384,3982,0.0432692307692307
20190124,US,-2.799932747363848,0.3343361986628462,44029,0.1031518624641833
20190125,US,-3.115361506703896,0.1890786749482402,42566,0.1004140786749482
20190125,IN,-1.681204375608241,0.4568720379146921,3772,0.0900473933649289
20190126,US,-2.7597407406185175,0.3522448979591835,25163,0.0938775510204081
20190126,IN,-0.5777113007698366,0.8176470588235295,3532,0.0748663101604278
20190127,IN,-0.9746475183519886,0.4774436090225562,2319,0.0676691729323308
20190127,US,-3.0366597143630414,0.0519540229885057,18686,0.1275862068965517
20190128,IN,-1.2512073968791977,0.5974093264248705,3448,0.0621761658031088
20190128,US,-2.2345942240560146,0.3232814526588844,31210,0.1108949416342412
20190129,US,-2.8955281776717228,0.1509291813159217,42090,0.1059768960321446
20190129,IN,-1.3982731860410194,0.5282157676348548,4455,0.0829875518672199
20190130,US,-2.398980408594179,0.5898916967509025,42301,0.0747422680412371
20190130,IN,-1.8591257646376216,0.4307984790874523,4989,0.0684410646387832
20190131,US,-2.376438375648713,0.5615062761506283,43742,0.0815899581589958
20190131,IN,-1.6623841773093109,0.9245551601423486,5795,0.0498220640569395
20190201,IN,-1.7748139619827112,1.1255506607929515,4636,0.092511013215859
20190201,US,-2.9684469302644003,0.3463678516228747,42924,0.0896445131375579
20190202,US,-2.554373508339749,0.6374211000901715,23318,0.0685302073940486
