Date,India_Avg_Goldstein,India_Event_Count
2015-02-20,1.9,3
2015-02-23,0.5572816809587234,7615
2015-02-24,0.6823331732662378,8332
2015-05-01,0.5119391634980989,6575
2015-05-02,0.2577712031558186,5070
2015-05-06,0.5264573413975036,7771
2015-05-07,0.6193576017130622,7005
2015-05-08,0.6440143369175627,6975
2015-07-20,5.0,1
2015-07-21,0.3542316734344946,9358
2015-07-22,0.3005788712011577,8292
2016-10-30,1.776190476190476,84
2016-10-31,-1.5181818181818183,33
2017-01-10,-1.1028169014084506,142
2017-01-11,0.8874125874125873,143
2017-01-12,0.4388894226150446,10409
2017-01-14,1.6984210526315788,190
2017-01-15,0.2923312883435582,6846
2017-01-16,-0.2426573426573426,143
2017-06-11,0.1382380952380952,6300
2017-06-12,-2.4207920792079207,101
2017-06-13,-2.584848484848485,99
2017-12-25,0.6488611315209405,1361
2017-12-26,-0.0571607254534083,1599
2017-12-27,0.114569536423841,151
2017-12-28,0.4156483408840455,8167
2017-12-29,0.1933158584534731,2289
2018-12-01,0.820565371024735,7075
2018-12-05,-0.8246376811594204,138
2018-12-06,-0.0827586206896552,87
2018-12-07,0.205240668593691,7957
2018-12-08,-0.2274823943661972,5680
2019-02-20,-0.9140271493212668,221
2019-05-01,-0.5062992125984253,127
2019-05-02,-0.379642644431209,8395
2019-05-04,-0.1195301783264746,5832
2019-11-17,1.6741379310344826,58
2019-11-18,0.6674222797927462,7720
2019-11-19,1.5630434782608695,138
2020-01-12,-0.196255180580225,6756
2020-01-13,-0.149573480185725,9261
2020-01-14,-0.0431545236188951,8743
2020-01-15,0.1731217694434427,8319
2020-01-16,0.4599216710182768,766
2020-01-17,0.1480070083223828,2283
2020-01-18,-1.7382113821138212,123
2020-03-30,0.5767857142857142,112
2020-03-31,1.5211818341223915,5703
2020-06-10,0.3128799884742832,6941
2020-06-11,0.3792472024415055,6881
2020-06-12,0.3026339153595738,6758
2020-06-13,-0.9109890109890112,91
2020-06-14,-1.1390625,64
2020-06-15,-0.8040697674418605,172
2020-10-06,0.9045454545454544,88
2020-12-29,0.3076923076923077,65
2021-05-24,0.5032902244199315,5258
2021-05-25,0.5403159217375696,5571
2021-05-26,0.8689189189189189,74
2021-05-27,0.975206611570248,121
2021-05-29,0.534161343742607,4227
2021-08-08,0.320293122886133,2661
2021-08-09,0.6435910608784998,3893
2021-12-01,0.907122736418511,4970
2021-12-02,0.6966258284796144,4979
2021-12-08,1.3512195121951218,82
2022-02-20,0.4988046795523906,3932
2022-02-21,0.1032646048109965,5238
2022-02-22,0.6272727272727273,297
2022-02-23,0.3733321312657771,5546
2022-05-01,0.8508333333333333,4200
2022-05-02,1.0287462908011868,5392
2022-05-03,0.933911159263272,923
2022-05-04,0.7126224357789688,5411
2022-05-06,-0.0781849912739965,573
2022-05-07,-0.1688412852969815,4108
2022-07-20,0.4371859296482412,4975
2022-11-19,0.1509424218951717,3873
2023-04-15,-0.969713506139154,1466
2023-04-16,-0.5801335559265443,1198
2023-04-17,0.4278327832783278,1818
2023-04-18,0.2981746308568771,8601
2023-04-19,0.6151720608929256,7817
2023-06-30,0.9166518931239712,7897
2023-09-13,0.9646868638486408,8351
2023-09-14,0.8609362808842653,3845
2023-09-15,0.4859106103751393,8077
2023-09-16,0.56386630532972,1107
2023-09-17,0.8983694738611531,5949
2023-09-18,0.5950633579725448,7576
2023-09-19,-0.6331491712707182,1991
2024-01-11,0.7082864825226106,4091
2024-01-12,0.812968591691996,4935
2024-01-13,0.690304026294166,1217
2024-01-14,0.8016627477326168,5954
2024-06-10,0.4781098641464855,8465
2024-06-11,0.5044539208718314,8442
2024-12-24,0.4459390862944162,1576
2024-12-25,0.1407834492114634,5897
2024-12-26,0.4125697820997659,5553
2024-12-29,0.2427147239263803,5216
2025-05-29,0.2339907192575405,1724
2025-12-01,0.6900699912510936,6858
2025-12-02,0.6234191382204812,7148
2025-12-03,0.8550539501426269,8063
2025-12-04,0.9794816414686826,1389
2025-12-05,0.7327323162274618,1442
2025-12-06,2.9,15
2025-12-07,0.7353645266594123,919
