GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1222253646,20250123,202501,2025,2025.063,USA,FLORIDA,USA,,,,,,,,,,,,,,,,,,1,10,10,1,1,0.0,2,1,2,-3.39321357285429,2,"Florida, United States",US,USFL,,27.8333,-81.717,FL,0,,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20250123064500,https://www.rnz.co.nz/news/world/539783/trump-mulls-letting-disaster-hit-us-states-fend-for-themselves
1222252942,20250123,202501,2025,2025.063,FRA,PARIS,FRA,,,,,,,,,,,,,,,,,,1,43,43,4,1,2.8,1,1,1,0.90909090909091,3,"Bard College, New York, United States",US,USNY,NY027,42.0212,-73.9065,942991,0,,,,,,,,3,"Bard College, New York, United States",US,USNY,,42.0212,-73.9065,942991,20250123064500,https://amsterdamnews.com/news/2025/01/23/abigail-mcgrath-an-experimental-theater-founder/
1222253682,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,112,112,11,3,-2.0,2,1,2,-7.04225352112676,3,"New Rochelle, New York, United States",US,USNY,NY119,40.9115,-73.7824,958451,0,,,,,,,,3,"Westchester, New York, United States",US,USNY,NY005,40.8472,-73.8553,970901,20250123064500,https://www.nytimes.com/2025/01/22/nyregion/mariano-rivera-child-sex-abuse.html
1222253805,20250123,202501,2025,2025.063,USAGOV,UNITED STATES,USA,,,,,GOV,,,,,,,,,,,,,0,110,110,11,3,-2.0,2,1,2,-0.61162079510703,3,"Capitol Hill, District of Columbia, United States",US,USDC,DC001,38.889,-77.0003,529313,0,,,,,,,,3,"Capitol Hill, District of Columbia, United States",US,USDC,,38.889,-77.0003,529313,20250123064500,https://www.sent-trib.com/2025/01/20/civil-rights-leaders-and-king-family-mark-mlk-day-as-a-special-call-to-action-as-trump-takes-office/
1222253677,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,874,87,8,2,10.0,4,1,4,-4.08496732026143,3,"Hollywood, California, United States",US,USCA,CA037,34.0983,-118.327,1660757,0,,,,,,,,3,"Hollywood, California, United States",US,USCA,CA037,34.0983,-118.327,1660757,20250123064500,https://www.usmagazine.com/celebrity-news/news/don-lemon-defends-friend-matt-lauer-7-years-after-today-firing/
1222252825,20250123,202501,2025,2025.063,CVL,COMMUNITY,,,,,,CVL,,,,,,,,,,,,,1,10,10,1,1,0.0,8,1,8,4.73036896877957,3,"San Francisco, California, United States",US,USCA,CA075,37.7749,-122.419,277593,0,,,,,,,,3,"San Francisco, California, United States",US,USCA,,37.7749,-122.419,277593,20250123064500,https://amsterdamnews.com/news/2025/01/23/mlk-beloved-comunity-inspires-decades-of-social-justice-work/
1222253643,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,10,10,1,1,0.0,4,1,4,-4.93827160493827,3,"Lansing Police Department, Michigan, United States",US,USMI,MI065,42.7338,-84.5531,2634797,0,,,,,,,,3,"Lansing Police Department, Michigan, United States",US,USMI,,42.7338,-84.5531,2634797,20250123064500,https://www.yahoo.com/news/crime-stoppers-two-thefts-042510359.html
1222252682,20250123,202501,2025,2025.063,BUS,BUSINESS,,,,,,BUS,,,,,,,,,,,,,1,180,180,18,4,-9.0,10,1,10,-11.7647058823529,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,0,,,,,,,,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,20250123064500,https://www.theepochtimes.com/us/39-san-diego-gang-members-arrested-for-carrying-out-crimes-ordered-by-mexican-mafia-in-prison-5797274
1222253030,20250123,202501,2025,2025.063,GOV,ADMINISTRATION,,,,,,GOV,,,,,,,,,,,,,1,172,172,17,4,-5.0,2,1,2,-2.1215043394407,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,0,,,,,,,,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,20250123064500,https://www.nbcsandiego.com/news/local/donald-trump-executive-orders-policy-changes-immigration/3732058/
1222253254,20250123,202501,2025,2025.063,JUD,LAWYER,,,,,,JUD,,,,,,,,,,,,,0,11,11,1,1,-0.1,6,1,6,-1.40532544378698,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,0,,,,,,,,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,20250123064500,https://www.nbcsandiego.com/news/national-international/unredacted-affidavit-contains-previously-unreported-allegation-about-pete-hegseths-behavior-toward-second-wife/3732046/
1222253671,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,57,57,5,1,8.0,2,1,2,-1.40532544378698,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,0,,,,,,,,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,20250123064500,https://www.nbcsandiego.com/news/national-international/unredacted-affidavit-contains-previously-unreported-allegation-about-pete-hegseths-behavior-toward-second-wife/3732046/
1222253673,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,60,60,6,2,6.0,2,1,2,-1.40532544378698,3,"San Diego, California, United States",US,USCA,CA073,32.7153,-117.157,1661377,0,,,,,,,,3,"San Diego, California, United States",US,USCA,,32.7153,-117.157,1661377,20250123064500,https://www.nbcsandiego.com/news/national-international/unredacted-affidavit-contains-previously-unreported-allegation-about-pete-hegseths-behavior-toward-second-wife/3732046/
1222253347,20250123,202501,2025,2025.063,MED,MEDIA,,,,,,MED,,,,,,,,,,,,,1,51,51,5,1,3.4,5,1,5,3.57142857142856,3,"Los Angeles, California, United States",US,USCA,CA037,34.0522,-118.244,1662328,0,,,,,,,,3,"Los Angeles, California, United States",US,USCA,,34.0522,-118.244,1662328,20250123064500,https://wkkg.com/entertainment-news/wicked-shrinking-billie-eilish-among-glaad-media-awards-nominees/
1222252888,20250123,202501,2025,2025.063,EDU,SCHOOL,,,,,,EDU,,,,,,,,,,,,,1,20,20,2,1,3.0,2,1,2,2.09790209790209,3,"Tyler County, West Virginia, United States",US,USWV,WV095,39.4501,-80.8665,1678706,0,,,,,,,,3,"Tyler County, West Virginia, United States",US,USWV,,39.4501,-80.8665,1678706,20250123064500,https://wtov9.com/news/local/tyler-county-community-rallies-for-superintendent-amid-school-consolidation-talks
1222252891,20250123,202501,2025,2025.063,EDU,SCHOOL,,,,,,EDU,,,,,,,,,,,,,1,36,36,3,1,4.0,1,1,1,-1.44230769230769,3,"Norwood Elementary School, West Virginia, United States",US,USWV,WV033,39.2503,-80.3159,1718316,0,,,,,,,,3,"Norwood Elementary School, West Virginia, United States",US,USWV,,39.2503,-80.3159,1718316,20250123064500,https://www.wvnews.com/theet/theet/news/construction-at-simpson-elementary-school-and-nutter-fort-primary-school-continues-despite-delays/article_d8ad5940-d81b-11ef-bf29-4fd46c99075b.html
1222252670,20250123,202501,2025,2025.063,BUS,AIRLINE,,,,,,BUS,,,,,,,,,,,,,0,42,42,4,1,1.9,2,1,2,0.59523809523809,3,"Tea House, California, United States",US,USCA,CA017,38.9544,-120.1,1733807,0,,,,,,,,3,"Tea House, California, United States",US,USCA,,38.9544,-120.1,1733807,20250123064500,https://www.forbes.com/sites/michaelgoldstein/2025/01/23/which-airlines-still-fly-the-boeing-747-on-its-55th-flight-anniversary/
1222253656,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,214,21,2,1,3.4,4,1,4,-4.93827160493827,3,"Lansing Police Department, Michigan, United States",US,USMI,MI065,42.7338,-84.5531,2634797,0,,,,,,,,3,"Lansing Police Department, Michigan, United States",US,USMI,,42.7338,-84.5531,2634797,20250123064500,https://www.yahoo.com/news/crime-stoppers-two-thefts-042510359.html
1222252834,20250123,202501,2025,2025.063,CVL,COMMUNITY,,,,,,CVL,,,,,,,,,,,,,1,20,20,2,1,3.0,3,1,3,2.77078085642317,2,"Colorado, United States",US,USCO,,39.0646,-105.327,CO,0,,,,,,,,3,"Boulder, Colorado, United States",US,USCO,CO013,40.015,-105.271,178680,20250123064500,https://yellowscene.com/2025/01/22/concert-for-la-benefit-wildfire-victims/
1222253662,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,42,42,4,1,1.9,4,1,4,4.6875,3,"Christ Lutheran School, Nebraska, United States",US,USNE,NE001,40.59,-98.5062,1884531,0,,,,,,,,3,"Christ Lutheran School, Nebraska, United States",US,USNE,,40.59,-98.5062,1884531,20250123064500,https://www.yahoo.com/news/norfolk-teacher-receives-award-nebraska-042724384.html
1222253640,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,10,10,1,1,0.0,4,1,4,1.18505013673655,3,"Hamilton Heights, New York, United States",US,USNY,NY061,40.8244,-73.95,2083655,0,,,,,,,,3,"Hamilton Heights, New York, United States",US,USNY,,40.8244,-73.95,2083655,20250123064500,https://amsterdamnews.com/news/2025/01/23/grasstoots-candidates-compete-against-establised-backed-opponents/
1222253164,20250123,202501,2025,2025.063,HRI,RIGHTS ACTIVIST,,,,,,HRI,,,,,,,,,,,,,1,43,43,4,1,2.8,4,1,4,-3.93258426966292,3,"First Corinthian Baptist Church, New York, United States",US,USNY,NY061,40.8031,-73.9531,2083680,0,,,,,,,,3,"First Corinthian Baptist Church, New York, United States",US,USNY,,40.8031,-73.9531,2083680,20250123064500,https://amsterdamnews.com/news/2025/01/23/tyra-banks-loses-home-in-la-wildfires/
1222253641,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,10,10,1,1,0.0,4,1,4,4.02476780185759,3,"East Harlem, New York, United States",US,USNY,NY061,40.7947,-73.9425,2083753,0,,,,,,,,3,"East Harlem, New York, United States",US,USNY,,40.7947,-73.9425,2083753,20250123064500,https://amsterdamnews.com/news/2025/01/23/breaking-ground-receives-500-k-wells-fargo-grant/
1222253265,20250123,202501,2025,2025.063,JUD,LAWYER,,,,,,JUD,,,,,,,,,,,,,0,124,124,12,3,-4.0,12,2,12,-1.40584554942865,3,"Punchbowl, California, United States",US,USCA,CA109,38.2391,-119.959,234520,0,,,,,,,,3,"Punchbowl, California, United States",US,USCA,CA109,38.2391,-119.959,234520,20250123064500,https://www.nbcsandiego.com/news/national-international/unredacted-affidavit-contains-previously-unreported-allegation-about-pete-hegseths-behavior-toward-second-wife/3732046/
1222253642,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,10,10,1,1,0.0,8,2,8,-1.40584554942865,3,"Punchbowl, California, United States",US,USCA,CA109,38.2391,-119.959,234520,0,,,,,,,,3,"Punchbowl, California, United States",US,USCA,CA109,38.2391,-119.959,234520,20250123064500,https://www.nbcsandiego.com/news/national-international/unredacted-affidavit-contains-previously-unreported-allegation-about-pete-hegseths-behavior-toward-second-wife/3732046/
