Date,USA_Avg_Goldstein,USA_Event_Count,India_Avg_Goldstein,India_Event_Count,Combined_Simple_Avg,Combined_Weighted_Avg,Combined_Product,Combined_Geometric_Mean,USA_India_Sentiment_Diff,USD_to_INR,Exchange_Rate_Change,Exchange_Rate_Change_Abs
2025-01-02,0.1576437949611278,30999.0,0.2427147239263803,5216.0,0.2001792594437541,0.1698964517465138,0.038262470172697,0.1956079501776373,-0.0850709289652525,85.76,,
2025-01-03,0.2608938981733384,38595.0,0.2427147239263803,5216.0,0.2518043110498594,0.2587295428088835,0.063322790469219,0.251640200423579,0.018179174246958,85.77,0.0116604477611748,0.0099999999999909
2025-01-06,0.5435092598071121,33802.0,0.2427147239263803,5216.0,0.3931119918667462,0.5032984776257112,0.1319176999455145,0.3632047631096191,0.3007945358807317,85.61,-0.1865454121487642,-0.1599999999999966
2025-01-07,0.5927260653016049,45175.0,0.2427147239263803,5216.0,0.4177203946139926,0.5564961997182036,0.1438633433036487,0.3792932154727378,0.3500113413752245,85.74,0.1518514192267117,0.1299999999999954
2025-01-08,0.380444365725981,50814.0,0.2427147239263803,5216.0,0.3115795448261806,0.3676227021238621,0.0923394491965283,0.3038740679895676,0.1377296417996006,85.89,0.174947515745294,0.1500000000000056
2025-01-09,0.4687007649275031,52554.0,0.2427147239263803,5216.0,0.3557077444269417,0.4482966937857019,0.1137605767634622,0.3372841187537033,0.2259860410011227,85.85,-0.0465711957154613,-0.0400000000000062
2025-01-10,0.3350226280428238,50159.0,0.2427147239263803,5216.0,0.2888686759846021,0.3263277652370203,0.0813149246745044,0.2851577189460323,0.0923079041164434,86.02,0.1980198019801982,0.1700000000000017
2025-01-13,0.5377720022422667,39246.0,0.2427147239263803,5216.0,0.3902433630843235,0.5031577526876884,0.1305251830595685,0.3612826913368098,0.2950572783158863,86.7,0.7905138339921125,0.6800000000000068
2025-01-14,0.5281278631782551,49115.0,0.2427147239263803,5216.0,0.3854212935523177,0.5007270250869669,0.1281844085091393,0.3580285023697686,0.2854131392518747,86.57,-0.1499423298731317,-0.1300000000000096
2025-01-15,0.6662256425809386,52756.0,0.2427147239263803,5216.0,0.4544701832536595,0.6281204719519768,0.1617027729117078,0.4021228331140969,0.4235109186545582,86.42,-0.1732701859766594,-0.1499999999999914
2025-01-16,0.692268544600939,53250.0,0.2427147239263803,5216.0,0.4674916342636597,0.6521619402729792,0.168023768685734,0.4099070244405846,0.4495538206745586,86.58,0.1851423281647779,0.1599999999999966
2025-01-17,0.5696075793681298,52036.0,0.2427147239263803,5216.0,0.4061611516472551,0.539825682945574,0.1382521463727094,0.3718227351476902,0.3268928554417494,86.62,0.0462000462000622,0.0400000000000062
2025-01-20,0.8236749936214135,43113.0,0.2427147239263803,5216.0,0.5331948587738969,0.760973742473463,0.1999180486818844,0.4471219617530372,0.5809602696950331,86.54,-0.0923574232278845,-0.0799999999999983
2025-01-21,0.7560324765087753,57149.0,0.2427147239263803,5216.0,0.4993736002175778,0.713100296640744,0.183500213815205,0.4283692493809576,0.5133177525823949,86.6,0.0693321007626313,0.059999999999988
2025-01-22,0.5908169949932152,42742.0,0.2427147239263803,5216.0,0.4167658594597977,0.5529567538262646,0.1433999838307918,0.3786819032259026,0.3481022710668348,86.38,-0.254041570438801,-0.2199999999999988
2025-01-23,0.4803851627980531,56911.0,0.2427147239263803,5216.0,0.3615499433622167,0.460431052521448,0.1165965521668587,0.3414623729883846,0.2376704388716727,86.44,0.0694605232692824,0.0600000000000022
2025-01-24,0.3237456755158011,55787.0,0.2427147239263803,5216.0,0.2832301997210907,0.3168172057111945,0.0785778422551771,0.2803173955629175,0.0810309515894207,86.26,-0.2082369273484374,-0.1799999999999926
