CTY_CODE,CTY_NAME,ALL_VAL_YR,ALL_VAL_MO,YEAR,MONTH,CTY_CODE.1,direction,fetch_year,fetch_month,month
5330,INDIA,2794805307,2794805307,2024,1,5330,exports,2024,1,1
5330,INDIA,6895350934,6895350934,2024,1,5330,imports,2024,1,1
5330,INDIA,5698764041,2903958734,2024,2,5330,exports,2024,2,2
5330,INDIA,13696690777,6801339843,2024,2,5330,imports,2024,2,2
5330,INDIA,9777072852,4078308811,2024,3,5330,exports,2024,3,3
5330,INDIA,21264621965,7567931188,2024,3,5330,imports,2024,3,3
5330,INDIA,13160577402,3383504550,2024,4,5330,exports,2024,4,4
5330,INDIA,29214713005,7950091040,2024,4,5330,imports,2024,4,4
5330,INDIA,16866538239,3705960837,2024,5,5330,exports,2024,5,5
5330,INDIA,37527631080,8312918075,2024,5,5330,imports,2024,5,5
5330,INDIA,20919281837,4052743598,2024,6,5330,exports,2024,6,6
5330,INDIA,44652522526,7124891446,2024,6,5330,imports,2024,6,6
5330,INDIA,24143630995,3224349158,2024,7,5330,exports,2024,7,7
5330,INDIA,51648366463,6995843937,2024,7,5330,imports,2024,7,7
5330,INDIA,28242012680,4098381685,2024,8,5330,exports,2024,8,8
5330,INDIA,58040701548,6392335085,2024,8,5330,imports,2024,8,8
5330,INDIA,31589974248,3347961568,2024,9,5330,exports,2024,9,9
5330,INDIA,65028939428,6988237880,2024,9,5330,imports,2024,9,9
5330,INDIA,34665245589,3075271341,2024,10,5330,exports,2024,10,10
5330,INDIA,73131353033,8102413605,2024,10,5330,imports,2024,10,10
5330,INDIA,38312707694,3647462105,2024,11,5330,exports,2024,11,11
5330,INDIA,80033637271,6902284238,2024,11,5330,imports,2024,11,11
5330,INDIA,41536952116,3224244422,2024,12,5330,exports,2024,12,12
5330,INDIA,87338082770,7304445499,2024,12,5330,imports,2024,12,12
