CTY_CODE,CTY_NAME,ALL_VAL_YR,ALL_VAL_MO,YEAR,MONTH,CTY_CODE.1,direction,fetch_year,fetch_month
5330,INDIA,19248886968,1610150816,2010,12,5330,exports,2010,12
5330,INDIA,29532939005,2131838964,2010,12,5330,imports,2010,12
5330,INDIA,21542184381,1968296947,2011,12,5330,exports,2011,12
5330,INDIA,36154495638,2619723034,2011,12,5330,imports,2011,12
5330,INDIA,22105737858,2232702109,2012,12,5330,exports,2012,12
5330,INDIA,40512644038,2772337336,2012,12,5330,imports,2012,12
5330,INDIA,21810447551,1558091924,2013,12,5330,exports,2013,12
5330,INDIA,41809988752,3014811913,2013,12,5330,imports,2013,12
5330,INDIA,21499085305,1943023883,2014,12,5330,exports,2014,12
5330,INDIA,45357982213,3467309552,2014,12,5330,imports,2014,12
5330,INDIA,21452908500,1544845718,2015,12,5330,exports,2015,12
5330,INDIA,44782656358,3014523563,2015,12,5330,imports,2015,12
5330,INDIA,21647177648,2090839941,2016,12,5330,exports,2016,12
5330,INDIA,46024248727,3439931439,2016,12,5330,imports,2016,12
5330,INDIA,25647817925,2365212479,2017,12,5330,exports,2017,12
5330,INDIA,48549442371,3595400791,2017,12,5330,imports,2017,12
5330,INDIA,33176580969,3255463590,2018,12,5330,exports,2018,12
5330,INDIA,54249561527,3945929496,2018,12,5330,imports,2018,12
5330,INDIA,34222774808,3023504178,2019,12,5330,exports,2019,12
5330,INDIA,57878981681,4289524901,2019,12,5330,imports,2019,12
5330,INDIA,27081657766,2780549465,2020,12,5330,exports,2020,12
5330,INDIA,51254588173,4901674890,2020,12,5330,imports,2020,12
5330,INDIA,39817425746,3922649144,2021,12,5330,exports,2021,12
5330,INDIA,73308215745,7059695751,2021,12,5330,imports,2021,12
5330,INDIA,46819202978,3571858603,2022,12,5330,exports,2022,12
5330,INDIA,85517362090,5957463600,2022,12,5330,imports,2022,12
5330,INDIA,40317521829,3202742917,2023,12,5330,exports,2023,12
5330,INDIA,83557090891,6460236863,2023,12,5330,imports,2023,12
5330,INDIA,41536952116,3224244422,2024,12,5330,exports,2024,12
5330,INDIA,87338082770,7304445499,2024,12,5330,imports,2024,12
