CTY_CODE,CTY_NAME,ALL_VAL_YR,HS_CODE,COMMODITY_DESC,YEAR,MONTH,CTY_CODE.1,COMM_LVL,direction,fetch_year
5330,INDIA,12086884734,71,"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMIPRECIOUS STONES, PRECIOUS METALS; PRECIOUS METAL CLAD METALS, ARTICLES THEREOF; IMITATION JEWELRY; COIN",2023,12,5330,HS2,imports,2023
5330,INDIA,11755002672,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION RECORDERS AND REPRODUCERS, PARTS AND ACCESSORIES",2023,12,5330,HS2,imports,2023
5330,INDIA,10752256459,30,PHARMACEUTICAL PRODUCTS,2023,12,5330,HS2,imports,2023
5330,INDIA,6351103025,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF",2023,12,5330,HS2,imports,2023
5330,INDIA,3718477387,29,ORGANIC CHEMICALS,2023,12,5330,HS2,imports,2023
5330,INDIA,2442521177,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED",2023,12,5330,HS2,imports,2023
5330,INDIA,105116262,52,"COTTON, INCLUDING YARNS AND WOVEN FABRICS THEREOF",2023,12,5330,HS2,imports,2023
