Model,Mean,Median,Std,5th Percentile,25th Percentile,75th Percentile,95th Percentile,Min,Max
Standard GBM,90.44997257715076,90.44622480515083,1.3901418819594669,88.17182271399999,89.51766874539105,91.3709542617986,92.73976974260374,85.70853675458649,95.81112551522304
Regime-Switching,90.38321170109216,90.37028397972097,1.336286200053937,88.23248033817099,89.50544156552769,91.26488564109673,92.61821000993524,85.26852082312602,96.740542523557
Jump Diffusion,87.21966599331263,87.25952157737544,3.939839127843704,80.7141814174137,84.65520936319133,89.89583182705925,93.61002575571926,68.13136768868902,102.74135762795424
Sentiment-Augmented,91.254853800413,91.23455414726058,1.3975863917718927,88.95022955784317,90.28974841517882,92.20379535139872,93.52849345694592,86.17266089942035,97.01727299456856
