Simulation,Final_Price,Return_%
1,92.53587389931786,2.932006562088829
2,89.33589168936305,-0.6274842165038416
3,90.44657744456944,0.6079838093097021
4,88.66758016257647,-1.37087857332985
5,91.72729028890066,2.0325809665190837
6,91.1949664680302,1.440452133515235
7,89.1226876836263,-0.8646410638194768
8,88.82505744265926,-1.1957091850286403
9,89.32243294033417,-0.6424550163135024
10,90.11836530859148,0.242898007332021
11,88.9341505892796,-1.074359744961523
12,89.87034126316155,-0.0329908084966144
13,89.39808564085847,-0.5583029578882505
14,90.46646266828736,0.630103079296282
15,88.79357870237396,-1.230724468994485
16,90.187434891449,0.3197273542258016
17,88.33147022280882,-1.7447494740725111
18,87.93819054396916,-2.1822129655515563
19,91.35913790667516,1.6230677493605865
20,89.54029849240344,-0.4001129116758271
21,91.211683873919,1.459047690677413
22,89.94810889548435,0.0535137880804751
23,89.90371959017195,0.0041374751634482
24,89.50769779227676,-0.4363762043640126
25,88.25472014280366,-1.8301221993285235
26,88.51535798062423,-1.5402024687161011
27,90.58717387068808,0.7643758294639271
28,89.33198520471015,-0.6318295831922749
29,88.98472796692633,-1.0181001480241123
30,88.9537707624066,-1.0525353032184648
31,88.02968874672742,-2.08043520942446
32,88.75645220164165,-1.2720220226455563
33,90.12356946317732,0.2486868333451913
34,89.13403812498044,-0.8520154338371194
35,88.74732305162712,-1.282176805754044
36,90.94592386030588,1.16343032292087
37,90.17605025899184,0.3070636918707948
38,90.40200238802886,0.5584008765615753
39,89.34014982461906,-0.6227476923036088
40,91.38796141214937,1.6551294907111904
41,89.48495003608146,-0.4616796039138467
42,89.17655303667085,-0.8047240971403253
43,89.06012533286764,-0.9342321102695924
44,91.2185479240456,1.4666828966024508
45,90.68492615826383,0.8731102984024953
46,88.95615397362499,-1.0498843452447308
47,89.05194026978147,-0.943336741066226
48,90.33991969208144,0.489343372726843
49,88.5665201570857,-1.483292372540935
50,89.94171631335001,0.0464030181868834
51,90.82460627967812,1.0284830697198015
52,89.52723139472441,-0.4146480592609517
53,89.9933625059436,0.1038515082798535
54,89.61033476730113,-0.3222082677406896
55,90.7441672296914,0.9390069295788582
56,88.75531898861146,-1.2732825488192905
57,89.6301742182027,-0.3001399130114668
58,90.1871246024914,0.3193822052184524
59,91.12804681882692,1.366014258984344
60,90.17530334863834,0.306232868340747
61,90.2562531893462,0.3962771850347109
62,90.2962532295744,0.4407711118736197
63,88.01819675146946,-2.093218296474466
64,92.138693929209,2.490204593113466
65,91.4554017909103,1.7301465972305845
66,92.13690416866145,2.488213758244077
67,89.45128498864408,-0.4991268201956946
68,89.23434185739711,-0.7404428727507159
69,90.65670345505482,0.8417168576805545
70,88.31331775738627,-1.7649413154768998
71,89.09571334964579,-0.8946458847099157
72,91.05934105899092,1.2895896095560668
73,90.1126072258766,0.2364930209973257
74,90.43111117387586,0.5907799486939455
75,89.00359512824623,-0.9971133167450208
76,91.45109812787878,1.7253594303434636
77,91.75766535120351,2.0663685775345075
78,90.70668000860682,0.8973081297072506
79,89.8283980069164,-0.0796462659439422
80,90.17463379116616,0.3054880880602524
81,90.9782402249646,1.1993773358894355
82,89.92196977064631,0.0244380096176952
83,90.00996912019367,0.1223238266892857
84,90.91572145790975,1.129834769643785
85,87.40431895341428,-2.77606345560148
86,90.0745809539223,0.1941946094797414
87,90.68242506999157,0.8703282202353292
88,90.65867422578071,0.8439090386882189
89,90.98783534943834,1.2100504443140556
90,90.77890299813173,0.9776451592121482
91,88.19944377503697,-1.8916087040745688
92,88.84158548891348,-1.1773242614978032
93,90.77707421843152,0.9756109215033556
94,89.48962466782629,-0.4564797910719849
95,90.97806603260383,1.1991835735303988
96,90.59111732000537,0.7687623136878321
97,89.85311948224069,-0.052147405738954
98,91.652837408042,1.9497635239621776
99,91.26811733558894,1.5218212854159443
100,91.55912077390364,1.8455181022287248
101,90.83602919478916,1.0411893156720162
102,92.38976850732672,2.769486659985223
103,92.0643433161682,2.4075009078622918
104,90.48734173611784,0.653327848851859
105,91.78976466850632,2.1020741585164813
106,90.54768607603437,0.7204516974798075
107,89.39351286996619,-0.5633894661110326
108,89.9891502404147,0.0991660071353684
109,89.8308625166867,-0.0769048757656423
110,91.52920434605878,1.812240651900746
111,89.4942148121488,-0.4513739575653038
