Week,Start_Date,End_Date,Mean,Median,Std,5th_Pct,25th_Pct,75th_Pct,95th_Pct,Min,Max,Expected_Change_%,Best_Case_Change_%,Worst_Case_Change_%,Uncertainty_Range
1,2025-12-30,2026-01-05,90.01858412940483,90.01037781120004,0.6854067730238526,88.91822829038027,89.56412893102608,90.46121968953489,91.1567896781055,86.91362731247152,94.13246311408156,0.1227784329255154,1.3979862937769645,-1.0920708672077146,2.238561387725227
2,2026-01-06,2026-01-12,90.1319086375362,90.11561415393903,0.9587645921913543,88.58018075523843,89.48203824738286,90.7653285176586,91.72840260979446,86.41975525118123,94.27226052631308,0.239837768564008,2.033818253386487,-1.4680970464533651,3.148221854556027
3,2026-01-13,2026-01-19,90.2510065749956,90.23874653194817,1.1792688577454424,88.34450238375527,89.45333061581884,91.0350727374592,92.19583122006394,85.95233858474052,95.55392798045452,0.376803706282699,2.553761090171225,-1.7302531882588832,3.8513288363086673
4,2026-01-20,2026-01-26,90.36239037192664,90.35711978190504,1.364043053630916,88.13205715267878,89.45807140909764,91.28624371829652,92.60927750399208,84.10163251838354,95.82216739867884,0.5084758419410692,3.013656845374938,-1.9665660148178223,4.477220351313292
