Model,Log-Likelihood,AIC,BIC,Persistence,Asymmetry
EGARCH,-23.16570223201065,60.3314044640213,85.03740807660125,0.1655105999645784,0.2017244479383281
GARCH,-24.224867283620775,60.44973456724156,81.6263090923101,0.9635178123167965,0.0
GJR-GARCH,-23.677798518672617,61.355597037345234,86.0616006499252,0.251920253587736,-0.2519202535876369
