Date,GoldsteinScale_mean,GoldsteinScale_std,Event_count,AvgTone_mean,AvgTone_std,Total_mentions,Total_articles,USD_to_INR
2025-01-02,0.6566378433367244,4.446729745753649,3932,-2.047926227162144,4.481785098064083,20786,20414,85.76
2025-01-03,0.3876655052264808,4.513580165499675,4305,-2.011418050479966,4.515249953882358,23390,22948,85.77
2025-01-06,0.2961530420238344,4.37487190984082,4783,-2.1414167167476528,4.304944574601248,25387,25057,85.61
2025-01-07,0.7259571056323912,4.142271587466779,4989,-1.4487020898697067,4.184573984119327,27341,26918,85.74
2025-01-08,0.7658893461362597,4.258261382850396,4374,-1.0432183081370632,4.320095171133899,24586,24003,85.89
2025-01-09,0.5487929125138427,4.325461216642677,4515,-1.4569981206458122,4.302288934980591,25711,25169,85.85
2025-01-10,0.7943802097337994,4.206667283721027,3719,-0.9834144271489608,4.171542615588161,20606,20142,86.02
2025-01-13,1.0350972947318462,4.23491526073809,4214,-0.2890839393293447,4.484533594365945,22386,21992,86.7
2025-01-14,0.6526067665002774,4.163714550937744,3606,-0.8647996611894484,4.300935940520746,18998,18519,86.57
2025-01-15,0.6547906976744186,4.3876137092716245,4300,-0.5862185482537814,4.36430412355119,23382,22980,86.42
2025-01-16,0.4347279472382523,4.561461409216753,4852,-1.1887756997521193,4.668328550197979,25968,25481,86.58
2025-01-17,0.8505930656934306,4.432991306430738,4384,-0.9849157451842512,4.590638548187171,22655,22281,86.62
2025-01-20,0.191810063167066,4.5292347884282975,4591,-1.8395180553607096,4.767990916440088,24666,24195,86.54
2025-01-21,0.6543014032946919,4.481740404753278,4917,-1.2981488906046,4.461817779260114,26159,25701,86.6
2025-01-22,1.194260609459712,4.35001168768602,5349,-0.955814763439498,4.219243258259937,27813,27397,86.38
2025-01-23,0.922890625,4.20575418667289,5120,-0.547583052892012,4.371493820037659,26674,26274,86.44
2025-01-24,0.975791505791506,4.137473604358941,5180,-1.1714331389904955,4.355084451175681,26539,25979,86.26
2025-01-27,0.7390510948905109,4.369980917585828,4658,-0.7672981616761892,4.4460543027314285,25337,24879,86.31
2025-01-28,0.9655129011957206,4.088703574490283,4767,-0.5869589444046777,4.235597682625105,23341,22931,86.56
2025-01-29,0.6639391056137013,4.238325429666381,5255,-1.820161669344752,4.150952008023862,28214,27730,86.56
2025-01-30,0.5790106424911313,4.35848953579042,5074,-1.8637549414840744,4.134903292626233,26478,26064,86.61
2025-01-31,0.8425536774783006,4.075885223931981,4378,-1.3565450275296338,4.029507738931318,23976,23563,86.59
2025-02-03,0.5118341876532204,4.252364520301217,4487,-1.3142057495981545,4.288437575574199,23768,23314,87.06
2025-02-04,0.89631217838765,4.205209960847615,4664,-1.0925473807540518,4.0181061755886684,24828,24378,87.09
2025-02-05,0.904458464773922,3.9605109423924096,4755,-0.9307158061696948,3.886883844095508,24616,24237,87.37
2025-02-06,0.6691448216587881,4.178599526527121,4654,-1.8940826458085889,4.238167436303002,24792,24279,87.61
2025-02-07,0.6100675675675675,4.23892963351311,4440,-1.8645624685222952,4.268725135167678,23970,23501,87.51
2025-02-10,1.2087348819351122,3.9957166140946607,5209,-0.7436995068028879,3.968516319326956,26634,26051,87.47
2025-02-11,1.294259567387687,3.9747994799454873,4808,-0.7870500050478949,4.028164605777558,24451,24072,86.74
2025-02-12,1.2783396544458492,4.168320823315526,4746,-0.8212694717058545,4.237240022443358,24576,24226,86.89
2025-02-13,1.3488737558931378,4.071574752264437,5727,-0.9714160089971318,4.279079789976784,28660,28167,86.99
2025-02-14,1.1284281486353174,4.328951171952994,6082,-1.2285317747935764,4.102928104540792,29521,29019,86.67
2025-02-17,1.015695379614581,4.134702385438298,4307,-1.4875281749100762,3.850911481770683,23319,22909,86.88
