Date,US_Avg_Tone,US_Avg_Stability,US_Total_Mentions,US_Event_Count,US_Crisis_Events
20210130,-2.110716550450378,0.5879759519038078,19825,998,84
20210131,-2.379764804918512,0.6456410256410254,16370,780,61
20210201,-1.9993467177730464,0.8131625441696114,23806,1132,82
20210202,-2.2042647552270465,0.6465432098765432,33098,1620,134
20210203,-2.232222382472628,0.5632972322503008,35418,1662,132
20210204,-2.400057546560873,0.6574836016696483,33691,1677,139
20210205,-2.5686958929136523,0.257768361581921,26405,1416,147
20210206,-2.5884993810120696,0.3595918367346939,20718,980,88
20210207,-2.6631018832892135,0.217936117936118,16488,814,84
20210208,-2.492634751438489,0.4725714285714281,21029,1050,102
20210209,-3.0949098806341944,0.3698482932996206,33710,1582,142
20210210,-2.930338895716984,0.2956304619225967,33661,1602,150
20210211,-2.8404204550899217,-0.0014790996784565,33718,1555,163
20210212,-2.840302589118433,0.365134602757715,32168,1523,132
20210213,-3.4559056255676213,0.1079967023907667,24035,1213,96
20210214,-3.884586712700568,0.4476190476190478,22664,966,77
20210215,-2.442795195656585,0.7324999999999999,16710,880,69
20210216,-2.1125263434439026,0.5123249299719888,27306,1428,118
20210217,-2.5328619662957887,0.6192439862542954,30720,1455,106
20210218,-2.4941763132318933,0.5984045947670708,32079,1567,130
20210219,-2.2468805686400213,0.799662845583277,28885,1483,101
20210220,-2.510698328874831,0.9467153284671532,22031,1096,67
20210221,-2.5922477333163614,0.4380228136882126,19006,789,72
20210222,-2.265774394949918,0.5833476394849784,23226,1165,96
20210223,-2.479394270112372,0.4658802177858438,32729,1653,131
20210224,-2.298899036364821,0.6618808777429467,32511,1595,109
20210225,-2.104334039640715,0.5338451695457453,32731,1563,141
20210226,-2.0746303984549326,0.5488544474393531,30937,1484,146
20210227,-2.677340941335132,0.4414760914760915,18171,962,86
20210228,-2.365468625322972,0.1603381014304291,16000,769,82
20210301,-1.872723468777303,0.5622107969151671,24547,1167,103
20210302,-2.1480619595967494,0.5090786819098857,31468,1487,144
20210303,-2.0239381570628026,0.5704559270516718,33993,1645,130
20210304,-2.4955851574824974,0.1220770738079686,29508,1531,155
20210305,-2.100028682592196,0.677069597069597,28586,1365,109
20210306,-1.9184909046441536,0.679916753381894,19413,961,75
20210307,-2.089489538476726,0.843024771838331,15048,767,53
20210308,-2.6027394888805304,0.5947368421052631,23874,1197,89
20210309,-2.5425431749156644,0.4707028531663186,29473,1437,116
20210310,-2.1102564264633705,0.8818831168831168,30316,1540,123
20210311,-2.1355431531913065,0.5533208020050124,32510,1596,139
20210312,-2.479111358513168,0.3985526315789472,32768,1520,147
20210313,-2.8936170089157933,0.2744927536231883,22818,1035,101
20210314,-2.578833893172803,0.6679999999999995,16118,775,58
20210315,-2.034440509466214,0.874668874172186,25574,1208,103
20210316,-1.9363525577998169,0.8614119259766964,31371,1459,107
20210317,-2.7213691978655383,0.180351728320194,32387,1649,187
20210318,-2.835147956763296,0.0749370277078085,31766,1588,187
20210319,-2.807552293478843,0.1679072605247101,33119,1639,170
20210320,-2.985138742903118,0.3693227091633466,21351,1004,107
20210321,-2.7309785342546946,0.2016574585635358,15165,724,87
20210322,-2.5825297654143906,0.157327935222672,26038,1235,145
20210323,-2.466737675214129,0.2077243018419489,33853,1683,206
20210324,-2.5815057447125405,0.0993029150823827,33395,1578,189
20210325,-2.374025870989662,0.0933906146728353,30666,1513,168
20210326,-2.585932738935632,0.204798962386511,31827,1542,166
20210327,-2.555192644286204,-0.2131658291457286,20584,995,127
20210328,-3.188570440455857,-0.0521367521367521,13978,702,93
