Date,IMF_3
2024-05-27,-0.0333572088768466
2024-05-28,-0.0407038688684983
2024-05-29,0.0051245249802893
2024-05-30,0.0429841338362537
2024-05-31,0.0228218293880591
2024-06-03,-0.0258593294605987
2024-06-04,-0.0367215922839097
2024-06-05,0.0077154024994828
2024-06-06,0.0271973819418905
2024-06-07,0.0092053477670539
2024-06-10,-0.0113523513240503
2024-06-11,-0.0140735409027389
2024-06-12,-0.0035547051645671
2024-06-13,0.0070419436532588
2024-06-14,0.0155923737194156
2024-06-17,0.0101870112904777
2024-06-18,-0.0154080349932779
2024-06-19,-0.029089258440348
2024-06-20,2.91712095350522e-06
2024-06-21,0.0326806410522982
2024-06-24,0.0139570884484541
2024-06-25,-0.0261435847273799
2024-06-26,-0.02093417906842
2024-06-27,0.0187137466675912
2024-06-28,0.0231999947931799
2024-07-01,-0.0086516203872028
2024-07-02,-0.0235937707021785
2024-07-03,-0.0051324119333951
2024-07-04,0.0165898183524198
2024-07-05,0.0142192431805333
2024-07-08,-0.0044736444257604
2024-07-09,-0.0138773789670842
2024-07-10,-0.0062563670825664
2024-07-11,0.0046974215496204
2024-07-12,0.0084485835097698
2024-07-15,0.0044036399665647
2024-07-16,-0.004499931361695
2024-07-17,-0.0120018663231715
2024-07-18,-0.0049014343961924
2024-07-19,0.0097448570062372
2024-07-22,0.0101602442175965
2024-07-23,-0.0027970186916846
2024-07-24,-0.007319058379276
2024-07-25,-0.0010785602207926
2024-07-26,0.0027685189014112
2024-07-29,0.002168513149756
2024-07-30,0.00262536707713
2024-07-31,0.0016135489484134
2024-08-01,-0.0038569229284361
2024-08-02,-0.0082211270744007
2024-08-05,-0.003614592818979
2024-08-06,0.0054429928060863
2024-08-07,0.0035012714110199
2024-08-08,0.0041173049316923
2024-08-09,0.0092721806776168
2024-08-12,0.0002829359052499
2024-08-13,-0.0160948701162844
2024-08-14,-0.0107002886310527
2024-08-15,0.0151083032905211
2024-08-16,0.0221730129396072
2024-08-19,-0.0022190732137862
2024-08-20,-0.0239644718044528
2024-08-21,-0.0108897167464635
2024-08-22,0.0210658458261651
2024-08-23,0.0196947665609933
2024-08-26,-0.0137932750634099
2024-08-27,-0.0219620707936983
2024-08-28,0.0061831660916482
2024-08-29,0.0246494115764026
2024-08-30,0.0052462408159667
2024-09-02,-0.0206788306553984
2024-09-03,-0.0148432380403197
2024-09-04,0.0102435851842659
2024-09-05,0.0178901900760343
2024-09-06,-0.0005047176616477
2024-09-09,-0.016263673187128
2024-09-10,-0.0072111166317622
2024-09-11,0.011738195728777
2024-09-12,0.0119094730952372
2024-09-13,-0.0062332571056071
2024-09-16,-0.0126089744664162
2024-09-17,0.0029353706813347
2024-09-18,0.0147095722238883
2024-09-19,0.0054564980837712
2024-09-20,-0.0129056287409608
2024-09-23,-0.0146471196792584
2024-09-24,0.0029752651999336
2024-09-25,0.0097944272739169
2024-09-26,-0.0031166940645015
2024-09-27,-0.0112085960399114
